organ,value,name
Brain,0.590909090909091,Bone
Brain,0.811111111111111,Brain
Brain,1,Liver
Brain,0.875,Lung
Brain,0.666666666666667,Lymph nodes
Eye,0.727272727272727,Bone
Eye,0.5,Brain
Eye,0.794117647058823,Liver
Eye,0.692307692307692,Lung
Eye,0,Lymph nodes
Thyroid,0.579150579150579,Bone
Thyroid,0.864864864864865,Brain
Thyroid,0.705128205128205,Liver
Thyroid,0.621782178217822,Lung
Thyroid,0.52,Lymph nodes
Kidney,0.78045574057844,Bone
Kidney,0.820738137082601,Brain
Kidney,0.847345132743363,Liver
Kidney,0.77669616519174,Lung
Kidney,0.511749347258486,Lymph nodes
Colorectal,0.834558823529412,Bone
Colorectal,0.837209302325581,Brain
Colorectal,0.742472979927946,Liver
Colorectal,0.78490493566353,Lung
Colorectal,0.455707762557078,Lymph nodes
Bladder,0.895778364116095,Bone
Bladder,0.903846153846154,Brain
Bladder,0.938888888888889,Liver
Bladder,0.886274509803922,Lung
Bladder,0.635514018691589,Lymph nodes
Ovary,0.795918367346939,Bone
Ovary,0.75,Brain
Ovary,0.73443579766537,Liver
Ovary,0.752487562189055,Lung
Ovary,0.389380530973451,Lymph nodes
Blood,0.216455696202532,Bone
Blood,0.5,Brain
Blood,0.333333333333333,Liver
Blood,0.257142857142857,Lung
Blood,0.207885304659498,Lymph nodes
Skin,0.854004252303331,Bone
Skin,0.834496510468594,Brain
Skin,0.869125821121779,Liver
Skin,0.813704496788009,Lung
Skin,0.587951807228916,Lymph nodes
Thymus,0.58695652173913,Bone
Thymus,0.9,Brain
Thymus,0.612903225806452,Liver
Thymus,0.529411764705882,Lung
Thymus,0,Lymph nodes
Lung,0.886676306548234,Bone
Lung,0.864599515317219,Brain
Lung,0.921995051438989,Liver
Lung,0.863529141016052,Lung
Lung,0.648496240601504,Lymph nodes
Pleura,0.666666666666667,Bone
Pleura,1,Brain
Pleura,1,Liver
Pleura,0.833333333333333,Lung
Pleura,NaN,Lymph nodes
Uteri,0.808823529411765,Bone
Uteri,0.890756302521008,Brain
Uteri,0.855842185128983,Liver
Uteri,0.778676470588235,Lung
Uteri,0.477434679334917,Lymph nodes
Nervous System,0.5,Bone
Nervous System,0.75,Brain
Nervous System,0.5,Liver
Nervous System,0.5,Lung
Nervous System,0,Lymph nodes
Bile Duct,0.890577507598784,Bone
Bile Duct,0.961538461538462,Brain
Bile Duct,0.894660894660895,Liver
Bile Duct,0.879858657243816,Lung
Bile Duct,0.669387755102041,Lymph nodes
Pancreas,0.926582278481013,Bone
Pancreas,0.916030534351145,Brain
Pancreas,0.90522369815011,Liver
Pancreas,0.918349429323968,Lung
Pancreas,0.715976331360947,Lymph nodes
Liver,0.915337423312883,Bone
Liver,0.958333333333333,Brain
Liver,0.912844036697248,Liver
Liver,0.893617021276596,Lung
Liver,0.832298136645963,Lymph nodes
Stomach,0.887728459530026,Bone
Stomach,0.879032258064516,Brain
Stomach,0.860448035255233,Liver
Stomach,0.883863080684597,Lung
Stomach,0.625,Lymph nodes
Breast,0.588754646840149,Bone
Breast,0.763085399449036,Brain
Breast,0.674969867416633,Liver
Breast,0.644201163188505,Lung
Breast,0.28258064516129,Lymph nodes
Bone,0.677966101694915,Bone
Bone,0.769230769230769,Brain
Bone,0.8,Liver
Bone,0.603238866396761,Lung
Bone,0.5,Lymph nodes
Esophagus,0.899447513812155,Bone
Esophagus,0.876344086021505,Brain
Esophagus,0.87864911276474,Liver
Esophagus,0.884180790960452,Lung
Esophagus,0.595959595959596,Lymph nodes
